iter	Passed	Remaining
442	1333	4076
443	1335	40694444	1341	4075
445	1350	4089
446	1351	4082
447	1353	4074
448	1357	4076
449	1359	4070
450	1361	4063
451	1362	4055
452	1365	4050
453	1366	4042
454	1368	4035
455	1369	4028
456	1371	4021
457	1372	4013
458	1374	4007
459	1376	4000
460	1377	3993
461	1382	3993
462	1383	3987
463	1385	3980
464	1387	3973
465	1388	3966
466	1390	3959
467	1391	3952
468	1393	39454469	1394	39384470	1396	39314471	1397	39244472	1402	3924
473	1403	39174474	1429	3978
475	1431	3971
476	1434	3970
477	1436	3963
478	1438	3957
479	1439	3950
480	1441	3944
481	1443	3938
482	1447	3938
483	1449	3932
484	1451	3926
485	1453	3920
486	1454	3913
487	1456	3906
488	1457	3899
489	1459	3893
490	1461	3886
491	1464	3884
492	1466	3878
493	1467	3871
494	1469	3864
495	1471	3858
496	1472	3851
497	1476	3850
498	1477	3844
499	1479	3837
500	1480	3830
501	1495	3856
502	1498	3855
503	1504	3859
504	1508	3858
505	1510	3852
506	1545	3931
507	1549	3932
508	1551	3925
509	1552	3918
510	1554	3912
511	1556	3905
512	1557	3899
513	1559	3893
514	1598	3978
515	1600	3972
516	1607	3979
517	1645	4063
518	1647	4056
519	1649	4049
520	1650	4043
521	1653	4037
522	1654	4030
523	1656	4023
524	1657	4016
525	1679	4058
526	1681	4051
527	1682	4044
528	1685	4041
529	1688	4035
530	1689	4029
531	1691	4022
532	1693	4015
533	1697	4014
534	1699	4008
535	1700	4001
536	1702	3994
537	1704	3988
538	1730	4038
539	1736	4043
540	1738	4036
541	1740	4030
542	1742	4023
543	1745	4021
544	1752	4025
545	1755	4023
546	1760	4023
547	1767	40275548	1768	4021
549	1770	4014
550	1772	4008
551	1774	4001
552	1775	3994
553	1777	3987
554	1808	4048
555	1812	4045
556	1817	4045
557	1819	4039
558	1820	4032
559	1827	4035
560	1828	4029
561	1830	4022
562	1834	4020
563	1835	4013
564	1837	4006
565	1838	3999
566	1840	3992
567	1842	3985
568	1844	3981
569	1857	3997
570	1858	3991
571	1860	3984
572	1861	3977
573	1863	3970
574	1864	3963
575	1872	3969
576	1874	3963
577	1875	3956
578	1877	3949
579	1879	3943
580	1883	3942
581	1885	3935
582	1886	3928
583	1888	3922
584	1891	3919
585	1893	3912
586	1903	3923
587	1904	3916
588	1906	3909
589	1907	3903
590	1911	38995591	1913	38945592	1916	3890
593	1917	3884
594	1919	3878598	1834	3669
599	1836	3663
600	1844	3670
601	1856	3684
602	1857	3678
603	1859	3672
604	1861	3666
605	1862	3660
606	1865	3657
607	1867	3651
608	1868	3645
609	1870	3639
610	1873	3636
611	1874	3629
612	1876	3623
613	1877	3618
614	1879	3612
615	1880	3606
616	1884	3604
617	1886	3598
618	1888	3594
619	1890	3588
620	1891	3581
621	1893	3576
622	1895	3572
623	1897	3566
624	1899	3562
625	1901	3556
626	1904	3553
627	1906	3548
628	1907	3542
629	1914	3545
630	1915	3539
631	1917	3534
632	1919	3528
633	1922	3526
634	1923	3520
635	1929	3523
636	1931	3517
637	1935	3515
638	1936	3509
639	1938	3503
640	1939	3498
641	1944	3498
642	1946	3492
643	1947	3487
644	1949	3481
645	1951	3476
646	1958	3481
647	1960	3475
648	1961	3470
649	1963	3464
650	1965	3459
651	1970	3460
652	1972	3455
653	1973	3449
654	1975	3444
655	1977	3438
656	1978	3433
657	1982	3431
658	1984	3426
659	1985	3420
660	1987	3415
661	1988	3409
662	1991	3405
663	1993	3400
664	1995	3397
665	2006	3408
666	2008	3402
667	2010	3397
668	2011	3392
669	2013	3386
670	2014	3381
671	2019	3380
672	2020	3374
673	2022	3369
674	2023	3363
675	2025	3358
676	2027	3353
677	2030	3351
678	2032	3346
679	2037	3346
680	2039	3341
681	2040	3336
682	2043	3333
683	2075	3377
684	2076	3371
685	2078	3366
686	2080	3360
687	2081	3355
688	2083	3350
689	2124	3407
690	2126	3402
691	2128	3399
692	2130	3394
693	2132	3388
694	2136	3386
695	2137	3381
696	2162	3412
697	2163	3406
698	2165	3401
699	2167	3396
700	2171	3394
701	2172	3389
702	2179	3391
703	2181	3386
704	2182	3381
705	2184	3375
706	2186	3370
707	2188	3366
708	2196	3370
709	2197	3365
710	2202	3364
711	2204	3358
712	2205	3353
713	2260	3428
714	2264	3427
715	2266	3422
716	2268	3417
717	2271	3413
718	2338	3505
719	2339	3499
720	2355	3514
721	2356	3509
722	2358	3503
723	2360	3498
724	2361	3492
725	2397	3536
726	2401	3533
727	2402	3528
728	2405	3524
729	2407	3519
730	2409	3513
731	2425	3528
732	2429	3526
733	2431	3521
734	2435	3518
735	2436	3513
736	2449	3523
737	2451	3517
738	2466	3531
739	2468	3525
740	2470	3520
741	2471	3514
742	2475	3510
743	2476	3505
744	2478	3499
745	2482	3497
746	2484	3492
747	2485	3486
748	2487	3480
749	2497	3486
750	2498	3480
751	2500	3474
752	2502	3469
753	2503	3463
754	2505	3458
755	2506	3451
756	2508	3446
757	2510	3441
758	2512	3436
759	2514	3430
760	2521	3432
761	2523	3427
762	2524	3421
763	2526	3415
764	2528	3410
765	2529	3404
766	2531	3399
767	2538	3401
768	2540	3396
769	2543	3391
770	2548	3391
771	2550	3386
772	2563	3395
773	2565	3391
774	2567	3386
775	2569	3380
776	2571	3375
777	2572	3369
778	2583	3375
779	2584	3370
780	2586	3364
781	2588	3359
782	2589	3353
783	2591	3348
784	2607	3362
785	2610	3358
786	2612	3352
787	2614	3347
788	2615	3341
789	2628	3350
790	2630	3345
791	2632	3340
792	2635	3336
793	2636	3331
794	2638	3325
795	2649	3332
796	2652	3328
797	2654	3322
798	2655	3317
799	2657	3312
800	2668	3318
801	2670	3312
802	2674	3310
803	2680	3311
804	2687	3311
805	2689	3306
806	2690	3300
807	2692	3295
808	2693	3289
809	2700	3290
810	2703	3286
811	2705	3281
812	2706	3276
813	2708	3270
814	2710	3265
815	2723	3274
816	2725	3269
817	2727	3263
818	2728	3258
819	2730	3252
820	2731	3247
821	2733	3242
822	2739	3242
823	2741	3236
824	2742	3231
825	2744	3226
826	2746	3221
827	2747	3215
828	2749	3210
829	2751	3206
830	2753	3200
831	2755	3195
832	2756	3190
833	2758	3184
834	2760	3179
835	2770	3184
836	2772	3179
837	2774	3174
838	2775	3169
839	2778	3165
840	2779	3160
841	2783	3157
842	2785	3152
843	2787	3147
844	2789	3142
845	2790	3137
846	2792	3131
847	2797	3130
846	2968	3329
849	2803	3123
850	2804	3118
851	2806	3112
852	2808	3107
853	2809	3102
854	2811	3097
855	2816	3096
856	2818	3091
857	2819	3085
858	2822	3082
859	2824	3077
860	2826	3072
861	2838	3078
862	2840	3074
863	2841	3068
862	3010	3257
863	3011	3252
866	2863	3072
867	2865	3066
868	2867	3061
869	2873	3061
870	2875	3056
871	2876	3051
872	2878	3046
873	2879	3041
874	2881	3036
875	2884	3032
876	2886	3027
877	2888	3023
878	2890	3018
877	3061	3203
878	3062	3198
879	3071	3200
880	3073	3195
881	3074	3189
882	3076	3184
883	3097	3199
884	3099	3194
885	3103	3191
886	3105	3185
889	2951	3007
890	2953	3002
891	2954	2997
892	295890	3104	3157
891	3108	3153
892	311895	297893	311896	297894	311897	297895	311898	297896	311899	297897	311900	297898	312901	298899	312902	298900	3128	3111
901	3130	3106
902	3132	3100
903	3133	3095
904	3135	3090
905	3136	3084
906	3138	3079
907	3140	3074
908	3141	3069
909	3143	3064
910	3145	3059
911	3147	3053
912	3148	3048
913	3150	3043
914	3151	3038
915	3153	3032
916	315919	301917	3157	3023
918	315921	301919	316922	302920	316923	302921	3173	3011
922	3175	3006
923	3179	3004
924	3181	2999
925	3183	2994
926	3185	2989
927	3186	2984
928	3189	2979
929	3191	2975
930	3194	2971
931	3195	2966
932	3197	2961
933	3199	2956
934	3201	2951
935	3202	2946
936	3205	2941
937	3206	2936
938	3208	2931
939	3209	2926
940	3211	2921
941	3212	2916
942	3215	2911
943	3216	2906
944	3220	2903
945	3222	2898
946	3223	2893
947	3225	2888
948	3229	2885
949	3230	2880
950	3232	2875
951	3233	2870
952	3235	2865
953	3237	2860
954	3239	2855
955	3240	2850
956	3242	2845
957	3244	2841
958	3245	2836
959	3247	2831
960	3249	2826
961	3250	2821
962	3252	2816
963	3254	2811
964	3255	2806
965	3257	2802
966	3258	2797
967	3260	2792
968	3262	2788
969	3264	2783
970	3266	2778
971	3267	2773
972	3269	2768
973	3271	2763
974	3273	2759
975	3275	2755
976	3277	2750
977	3279	2746
978	3281	2741
979	3282	2736
980	3284	2731
981	3285	2727
982	3287	2722
983	3288	2717
984	3290	2712
985	3292	2708
986	3294986	3203	2628
987	3205	2624
988	3206	2619
989	3208	2615
990	3210	2611
991	3213	2607
992	3214	2603
993	3220	2601
994	3222	2597
995	3224	2593
996	3226	2589
997	3228	2584
998	3231	2581
999	3233	2577
1000	3235	2572
1001	3236	2567
1002	3238	2563
1003	3240	2559
1004	3241	2554
1005	3243	2550
1006	3244	2545
1007	3246	2541
1008	3248	2536
1009	3249	2532
1010	3252	2528
1011	3253	2524
1012	3255	2519
1013	3256	2514
1014	3258	2510
1015	3259	2505
1016	3261	2501
1017	3262	2496
1018	3264	2492
1019	3266	2488
1020	3267	2483
1021	3269	2479
1022	3271	2474
1023	3273	2470
1024	3276	2467
1025	3277	2463
1026	3279	2458
1027	3281	2454
1028	3287	2453
1029	3289	2449
1030	3290	2444
1031	3292	2440
1032	3293	2435
1033	3295	2431
1034	3297	2427
1035	3299	2423
1036	3300	2419
1037	3302	2414
1038	3303	2410
1039	3305	2405
1040	3306	2401
1041	3308	2397
1042	3310	2392
1043	3311	2388
1044	3313	2384
1045	3314	2379
1046	3316	2375
1047	3319	2372
1048	3321	2368
1049	3322	2363
1050	3324	2359
1051	3325	2355
1052	3328	2352
1053	3331	2348
1054	3334	2344
1055	3335	2340
1056	3337	2336
1057	3338	2332
1058	3340	2327
1059	3341	2323
101063	3294	2269
1064	3296	2265
1065	3299	2262
1066	3300	2258
1067	3302	2254
1068	3305	2251
1069	3307	2247
1070	3309	2243
1071	3311	2239
1072	3312	2235
1073	3314	2231
1074	3320	2229
1075	3322	2226
1076	3327	2224
1077	3330	2221
1078	3333	2217
1079	3334	2213
1080	3336	2210
1081	3338	2206
1082	3340	2202
1083	3343	2198
1084	3344	2194
1085	3346	2190
1086	3347	2186
1087	3349	218101088	3351	217101089	3353	217101090	3354	217101091	3356	216101092	3357	216101093	3367	2163
1094	3368	2159
1095	3370	2151093	3424	2200
1094	3425	2196
1095	3429	2193
1096	3431	2189
1097	3432	2185
1098	3434	2181
