iter	Passed	Remaining
1754	4352	104
1755	4353	101
1756	4355	99
1757	4356	96
1758	4358	94
1759	4359	91
1760	4361	89
1761	4362	86
1762	4364	84
1763	4365	81
1764	4367	79
1765	4368	76
1766	4370	74
1767	4371	71
1768	4373	69
1769	4374	66
1770	4376	64
1771	4377	61
1772	4379	59
1773	4380	56
1774	4381	54
1775	4383	51
1776	4384	49
1777	4386	46
1778	4387	44
1779	4389	41
1780	4390	39
1781	4391	36
1782	4393	34
1783	4395	32
1784	4396	29
1785	4397	27
1786	4398	24
1787	4400	22
1788	4402	19
1789	4403	17
1790	4404	14
1791	4405	12
1792	4407	9
1793	4408	7
1794	4409	4
1795	4410	2
1796	4412	0
1793	4540	7
1794	4542	5
1795	4543	2
1796	4544	0
40	0
